"categoryQuestion_or","answer"
"ଆପଣ କିପରି ଏକ ଡେବିଟ୍ କାର୍ଡ ପାଇପାରିବେ?","[""<p>ଏହା ସାଧାରଣତଃ ବ୍ୟାଙ୍କର ଆକାଉଣ୍ଟ ଖୋଲିବା କିଟ୍ ର ଏକ ଅଂଶ ଭାବରେ ଆସିଥାଏ ଯଦି ତୁମେ ତୁମର ଆକାଉଣ୍ଟ ଖୋଲିବା ଫର୍ମରେ ସମାନ ଚୟନ କରିଛ | ଯଦି ଆପଣ ଏକ ଡେବିଟ୍ କାର୍ଡ ଗ୍ରହଣ କରିନାହାଁନ୍ତି, ତେବେ ଆପଣ ଆପଣଙ୍କର ବ୍ୟାଙ୍କ ସହିତ ଯୋଗାଯୋଗ କରିପାରିବେ ଏବଂ ଏକ ଡେବିଟ୍ କାର୍ଡ ପାଇଁ ଅନୁରୋଧ କରିପାରିବେ |</p>""]"
"କ୍ରସର ସୀମା ଭିତରର ଟଙ୍କା ପଠାଇଥିବା ହିତାଧିକାରୀଙ୍କୁ ପୂର୍ଣ୍ଣ- KYC PPI ପ୍ରଦାନ କରିବାକୁ କିଏ ଅନୁମତିପ୍ରାପ୍ତ?","[""<p>ଭାରତୀୟ ଏଜେଣ୍ଟ ଅଫ୍ ଅଥୋରାଇଜଡ୍ ଓଭରସିଜ୍ ପ୍ରିନ୍ସିପାଲ୍ ଭାବେ ନିୟୁକ୍ତ ବ୍ୟାଙ୍କ୍ ଏବଂ ଅଣ ବ୍ୟାଙ୍କ୍ ପିପିଆଇ ଜାରିକାରୀଙ୍କୁ ରିଜର୍ଭ ବ୍ୟାଙ୍କର ମନି ଟ୍ରାନ୍ସଫର୍ ସର୍ଭିସ୍ ସ୍କିମ୍ (ଏମ୍ଟିଏସ୍ଏସ୍) ଅଧୀନରେ ଆଭ୍ୟନ୍ତରୀଣ ରେମିଟେନ୍ସର ହିତାଧିକାରୀମାନଙ୍କୁ ପୂର୍ଣ୍ଣ କେବାଇସି PPIs ଜାରି କରିବାକୁ ଅନୁମତି ଦିଆୟିବ। ବୈଦେଶିକ ମୁଦ୍ରା ବିନିମୟ ବିଭାଗ (ଏଫଇଡି), ଆରବିଆଇ ଦ୍ୱାରା ଜାରି ଏମଟିଏସଏସ ନିର୍ଦ୍ଦେଶାବଳୀ ଅନୁୟାୟୀ ଏହି PPIs ଜାରି କରାୟିବ</p>""]"
"PMGKS ରେ ଜମା କରିବାକୁ କିଏ ଯୋଗ୍ୟ?","[""<p>ଏହି ଯୋଜନା ଅନ୍ତର୍ଗତ ଜମା ଯେକୌଣସି ବ୍ୟକ୍ତିଙ୍କ ଦ୍ୱାରା କରାଯିବ, ଯିଏ ପ୍ରଧାନ ମନ୍ତ୍ର ଗାରିବ କଲ୍ୟାଣ ଯୋଜନା, 2016 ପାଇଁ ଟିକସ ଏବଂ ବିନିଯୋଗ ବ୍ୟବସ୍ଥାର ଧାରା 199C ର ଉପ-ଧାରା (1) ଅନୁଯାୟୀ ଅଜ୍ଞାତ ଆୟ ଘୋଷଣା କରିବେ |</p>""]"
"UAN କିପରି ସୃଷ୍ଟି କରିବେ?","[""<p>ବର୍ତ୍ତମାନ ଯେହେତୁ ବ୍ୟକ୍ତିମାନେ ଜାଣନ୍ତି ଯେ ୟୁନିଭର୍ସାଲ୍ ଆକାଉଣ୍ଟ୍ ନମ୍ବରର ଅର୍ଥ, ଏହାର ଗୁରୁତ୍ୱ ଏବଂ ଏହାର ଲାଭ, ସେମାନେ ନିଶ୍ଚିତ ଭାବରେ ଏହାକୁ ସୃଷ୍ଟି କରିବାର ପ୍ରକ୍ରିୟା ଜାଣିବା ଉଚିତ୍ | <br> <br> ଏକ UAN ନମ୍ବର ସୃଷ୍ଟି କରିବାକୁ ନିମ୍ନରେ ଉଲ୍ଲେଖ କରାଯାଇଥିବା ପଦକ୍ଷେପଗୁଡ଼ିକୁ ଅନୁସରଣ କରନ୍ତୁ | <br> <b> ଷ୍ଟେପ୍ 1 </b> ପ୍ରତିଷ୍ଠା ID ଏବଂ ପାସୱାର୍ଡ ବ୍ୟବହାର କରି EPF ନିଯୁକ୍ତିଦାତା ପୋର୍ଟାଲକୁ ଲଗ୍ ଇନ୍ କରନ୍ତୁ | <br> <b> ଷ୍ଟେପ୍ 2 </b> u2018 ମେମ୍ବର ଟ୍ୟାବକୁ ଯାଆନ୍ତୁ ଏବଂ u2018 ରେଜିଷ୍ଟର ବ୍ୟକ୍ତିଗତ ଉପରେ କ୍ଲିକ୍ କରନ୍ତୁ | <br> <b> ଷ୍ଟେପ୍ 3 </b> କର୍ମଚାରୀଙ୍କ ବିବରଣୀ ପ୍ରଦାନ କରନ୍ତୁ ଯେପରିକି ଆଧାର, ପାନ୍, ବ୍ୟାଙ୍କ ବିବରଣୀ ଇତ୍ୟାଦି <br> <b> ଷ୍ଟେପ୍ 4 </b> ସମସ୍ତ ବିବରଣୀ ଯାଞ୍ଚ କରିବା ପରେ u2018 ଅନୁମୋଦନ 'ବଟନ୍ ଉପରେ କ୍ଲିକ୍ କରନ୍ତୁ | <br> <b> ଷ୍ଟେପ୍ 5 </b> EPFO ଦ୍ୱାରା ଏକ ନୂତନ UAN ସୃଷ୍ଟି ହେବ |</p>""]"
"କେବେ ଘୋଷଣାକାରୀ ଏହି ଯୋଜନାରେ ଜମା କରିପାରିବେ?","[""<p>ଏହି ସ୍କିମ୍ ଅନ୍ତର୍ଗତ ଜମାଗୁଡିକ ଏକ କିମ୍ବା ଅଧିକ ଥର (ଫେବୃଆରୀ 07, 2017 ଠାରୁ ପ୍ରଧାନ ମନ୍ତ୍ର ଗାରିବ କଲ୍ୟାଣ ଜମା ଯୋଜନାରେ ସଂଶୋଧନ ଅନୁଯାୟୀ, ନୋଟିଫିକେସନ୍ ନଂ S.O. 4061 E) କାର୍ଯ୍ୟ କରିବା ସମୟରେ ଯେକୌଣସି ପ୍ରାଧିକୃତ ବ୍ୟାଙ୍କରେ କାର୍ଯ୍ୟ କରିବ | ଦିନଗୁଡିକ [ରବିବାରକୁ ବାଦ ଦେଲେ ମଧ୍ୟ ବ୍ୟାଙ୍କିଙ୍ଗ୍ ସେବାଗୁଡିକ ରବିବାର ଦିନ ଚୟନ ଶାଖାଗୁଡ଼ିକରେ ପ୍ରଦାନ କରାଯାଏ], ମାର୍ଚ୍ଚ 31 ତାରିଖ ପର୍ଯ୍ୟନ୍ତ |</p>""]"
"ମୁଁ ମୋର ନିଜ ବ୍ୟାଙ୍କର ବିସି / ବ୍ୟାଙ୍କ ମିତ୍ରକୁ ଯାଇପାରିବି କି?","[""<p>ଆଧାର ଭିତ୍ତିକ କାରବାର କରିବା ପାଇଁ ବିସି / ବ୍ୟାଙ୍କ ମିତ୍ର ଯେକୌଣସି ବ୍ୟାଙ୍କର ହୋଇପାରେ।</p>""]"
"ଭାରତରେ ସବଆଉଟ୍ କ୍ରେଡିଟ୍ ସ୍କୋର କ’ଣ ଜାଣିବା?","[""<p>ଭାରତରେ, ରିଜର୍ଭ ବ୍ୟାଙ୍କ ଅଫ୍ ଇଣ୍ଡିଆ (ଆରବିଆଇ) ଚାରୋଟି କ୍ରେଡିଟ୍ ସୂଚନା କମ୍ପାନୀକୁ ଲାଇସେନ୍ସ ପ୍ରଦାନ କରିଛି 300 ରୁ 900 ମଧ୍ୟରେ ରେଞ୍ଜ (କିମ୍ବା CIBIL ସ୍କୋର ଏହା ଲୋକପ୍ରିୟ ଭାବରେ ଜଣାଶୁଣା) | br> Experian u2013 ଏହି ବହୁରାଷ୍ଟ୍ରୀୟ କ୍ରେଡିଟ୍ ରିପୋର୍ଟିଂ କମ୍ପାନୀ 2010 ରେ ଭାରତରେ ଆରମ୍ଭ ହୋଇଥିଲା। 300 ରୁ 850 ମଧ୍ୟରେ ଏକ୍ସପେରିଆନ୍ ପରିସର ପାଇଁ କ୍ରେଡିଟ୍ ସ୍କୋର | <br> ଭାରତରେ | ଇକ୍ୱିଫ୍ୟାକ୍ସ ପାଇଁ କ୍ରେଡିଟ୍ ସ୍କୋର 300 ରୁ 850 ମଧ୍ୟରେ ରହିଥାଏ।</p>""]"
"ମୁଁ କିପରି ମୋବାଇଲ୍ ବ୍ୟାଙ୍କିଂରେ ଲଗ୍ଇନ୍ କରିବି?","[""<p>ବ୍ୟାଙ୍କ ଦ୍ୱାରା ପ୍ରଦାନ କରାଯାଇଥିବା ସେବା ଉପରେ ନିର୍ଭର କରି ଏକ ୟୁଜର୍ ନାମ / ୟୁଜର୍ ID ଏବଂ ଏକ ପିନ୍ କିମ୍ବା ଫିଙ୍ଗର ପ୍ରିଣ୍ଟ କିମ୍ବା ଇଣ୍ଟରନେଟ୍ / ନେଟ୍ ବ୍ୟାଙ୍କିଙ୍ଗ୍ ପାସୱାର୍ଡ ବ୍ୟବହାର କରି ଆପଣ ଆପଣଙ୍କର ମୋବାଇଲ୍ ବ୍ୟାଙ୍କିଂରେ ଲଗ୍ଇନ୍ କରିପାରିବେ |</p>""]"
"ଏହି ଯୋଜନା ଅନ୍ତର୍ଗତ ଜମା ଉପରେ କୌଣସି ସୁଧ ପ୍ରଦାନ କରାଯିବ କି?","[""<p>ଏହି ଯୋଜନାରେ ଜମା ପାଇଁ କୌଣସି ସୁଧ ଦିଆଯିବ ନାହିଁ |</p>""]"
"ଜମା ଆଂଶିକ ନଗଦ ଏବଂ ଆଂଶିକ ଚେକ୍ କିମ୍ବା ଅନ୍ୟାନ୍ୟ ଉପାୟରେ କରାଯାଇପାରିବ କି?","[""<p>ହଁ, ଏକ ସମୟରେ ଏକାଧିକ ଦେୟ ଅର୍ଥର ମିଶ୍ରଣରେ ଜମା କରାଯାଇପାରେ | ତଥାପି, ଜମା କରିବାର ପ୍ରଭାବଶାଳୀ ତାରିଖ ବ୍ୟାଙ୍କ ଶେଷରେ ସମୁଦାୟ ଜମା ରାଶି ହାସଲ କରିବାର ତାରିଖ ହେବ |</p>""]"
